idx,stages,latency,critσ,combHits,dspHits,baseE,rawE,warE,wawE,flagWR,flagWAW,finalE
1795,2,2,1.0,0,0,1,0,0,0,0,0,1
1796,1,1,0.0,0,0,1,0,0,0,0,0,1
1797,2,2,0.0,0,0,1,0,0,0,0,0,1
1798,1,1,0.0,0,0,1,0,0,0,0,0,1
1799,2,2,1.0,0,0,2,0,0,0,0,0,1
1800,1,1,0.0,0,0,1,0,0,0,0,0,1
1801,2,2,1.0,0,0,1,0,0,0,0,0,1
1802,2,2,1.0,0,0,1,0,0,0,0,0,1
1803,2,2,0.5,0,0,2,0,0,1,0,0,3
1804,1,1,0.0,0,0,1,0,0,0,0,0,1
1805,3,3,0.9428090415820634,0,0,6,5,0,5,3,2,21
1806,2,2,1.0,0,0,2,0,0,0,0,0,1
1807,3,3,0.0,0,0,4,3,0,0,1,0,8
1808,2,2,1.0,0,0,1,0,0,0,0,0,1
1809,2,2,1.0,0,0,1,0,0,0,0,0,1
1810,3,3,0.9428090415820634,0,0,2,1,0,0,0,0,3
1811,1,1,0.0,0,0,1,0,0,0,0,0,1
1812,2,2,0.0,0,0,3,1,0,1,1,0,6
1813,2,2,0.5,0,0,5,1,0,1,0,0,7
1814,7,7,1.0301575072754257,0,0,12,20,12,6,0,0,50
1815,2,2,0.5,0,0,2,0,0,0,0,0,2
1816,1,1,0.0,0,0,1,0,0,0,0,0,1
1817,2,2,1.0,0,0,1,0,0,0,0,0,1
1818,2,2,1.0,0,0,1,0,0,0,0,0,1
1819,1,1,0.0,0,0,1,0,0,0,0,0,1
1820,2,2,1.0,0,0,1,0,0,0,0,0,1
1821,4,4,1.0897247358851685,0,0,4,1,1,1,0,0,7
1822,2,2,1.0,0,0,1,0,0,0,0,0,1
1823,2,2,1.0,0,0,1,0,0,0,0,0,1
1824,2,2,1.0,0,0,1,0,0,0,0,0,1
1825,1,1,0.0,0,0,2,0,0,0,0,0,2
1826,1,1,0.0,0,0,1,0,0,0,0,0,1
1827,1,1,0.0,0,0,2,0,0,0,0,0,2
1828,2,2,1.0,0,0,1,0,0,0,0,0,1
1829,3,3,0.9428090415820634,0,0,3,0,0,0,0,0,3
1830,2,2,0.5,0,0,2,1,0,0,0,0,3
1831,2,2,1.0,0,0,1,0,0,0,0,0,1
1832,2,2,1.0,0,0,3,1,0,0,0,0,4
1833,1,1,0.0,0,0,2,0,0,0,0,0,2
1834,2,2,1.0,0,0,1,0,0,0,0,0,1
1835,2,2,1.0,0,0,2,0,0,0,0,0,1
1836,1,1,0.0,0,0,1,0,0,0,0,0,1
1837,2,2,1.0,0,0,1,0,0,0,0,0,1
1838,4,4,1.0897247358851685,0,0,4,1,1,1,0,0,7
1839,2,2,1.0,0,0,1,0,0,0,0,0,1
1840,1,1,0.0,0,0,2,0,0,0,0,0,2
1841,2,2,0.5,0,0,2,0,0,1,0,0,3
1842,2,2,1.0,0,0,1,0,0,0,0,0,1
1843,2,2,1.0,0,0,1,0,0,0,0,0,1
1844,2,2,1.0,0,0,1,0,0,0,0,0,1
1845,5,5,0.4,0,1,5,1,0,1,0,0,7
1846,2,2,1.0,0,0,1,0,0,0,0,0,1
1847,5,5,1.3564659966250536,2,0,23,50,21,6,0,0,100
1848,2,2,0.0,0,0,1,0,0,0,0,0,1
1849,3,3,0.9428090415820634,2,0,20,19,11,3,0,0,53
1850,2,2,1.0,0,0,1,0,0,0,0,0,1
1851,1,1,0.0,0,0,1,0,0,0,0,0,1
1852,3,3,0.9428090415820634,0,0,3,0,0,0,0,0,3
1853,2,2,1.0,0,0,1,0,0,0,0,0,1
1854,2,2,1.0,0,0,1,0,0,0,0,0,1
1855,1,1,0.0,0,0,1,0,0,0,0,0,1
1856,2,2,1.0,0,0,1,0,0,0,0,0,1
1857,3,3,0.9428090415820634,0,0,3,0,0,0,0,0,3
1858,1,1,0.0,0,0,1,0,0,0,0,0,1
1859,3,3,2.0548046676563256,1,0,3,0,0,0,0,0,3
1860,2,2,1.0,0,0,1,0,0,0,0,0,1
1861,3,3,0.9428090415820634,0,0,2,0,0,0,0,0,2
1862,2,2,1.0,0,0,1,0,0,0,0,0,1
1863,1,1,0.0,0,0,1,0,0,0,0,0,1
1864,2,2,1.0,0,0,1,0,0,0,0,0,1
1865,1,1,0.0,0,0,1,0,0,0,0,0,1
1866,2,2,0.0,0,0,1,0,0,0,0,0,1
1867,2,2,1.0,0,0,1,0,0,0,0,0,1
1868,1,1,0.0,0,0,1,0,0,0,0,0,1
1869,3,3,0.9428090415820634,0,0,3,0,0,0,0,0,3
1870,2,2,1.0,0,0,1,0,0,0,0,0,1
1871,1,1,0.0,0,0,1,0,0,0,0,0,1
1872,2,2,0.0,0,0,3,1,0,0,0,0,4
1873,2,2,0.5,0,0,2,1,0,0,0,0,3
1874,2,2,0.0,0,0,1,0,0,0,0,0,1
1875,2,2,1.0,0,0,1,0,0,0,0,0,1
1876,3,3,0.9428090415820634,0,0,2,1,0,0,0,0,3
1877,1,1,0.0,0,0,2,0,0,0,0,0,2
1878,1,1,0.0,0,0,1,0,0,0,0,0,1
1879,1,1,0.0,0,0,1,0,0,0,0,0,1
1880,2,2,0.0,0,0,1,0,0,0,0,0,1
1881,1,1,0.0,0,0,2,0,0,0,0,1,3
1882,1,1,0.0,0,0,2,0,0,0,0,1,3
1883,1,1,0.0,0,0,1,0,0,0,0,0,1
1884,4,4,0.4330127018922193,0,0,4,0,1,1,0,0,6
1885,2,2,2.0,1,0,4,0,0,0,0,0,3
1886,2,2,1.0,0,0,1,0,0,0,0,0,1
1887,2,2,0.0,0,0,1,0,0,0,0,0,1
1888,1,1,0.0,0,0,1,0,0,0,0,0,1
1889,2,2,1.0,0,0,1,0,0,0,0,0,1
1890,1,1,0.0,0,0,1,0,0,0,0,0,1
1891,2,2,1.0,0,0,1,0,0,0,0,0,1
1892,2,2,1.0,0,0,2,0,0,0,0,0,1
1893,2,2,1.0,0,0,1,0,0,0,0,0,1
1894,1,1,0.0,0,0,1,0,0,0,0,0,1
1895,2,2,0.5,0,0,2,0,0,1,0,0,3
1896,2,2,1.0,0,0,1,0,0,0,0,0,1
1897,3,3,0.9428090415820634,0,0,2,1,0,0,0,0,3
1898,1,1,0.0,0,0,1,0,0,0,0,0,1
1899,2,2,0.5,0,0,5,1,0,1,0,0,7
1900,7,7,1.0301575072754257,0,0,12,20,12,6,0,0,50
1901,2,2,0.5,0,0,2,0,0,0,0,0,2
1902,1,1,0.0,0,0,1,0,0,0,0,0,1
1903,2,2,1.0,0,0,1,0,0,0,0,0,1
1904,2,2,1.0,0,0,6,4,1,0,0,0,11
1905,3,3,0.9428090415820634,0,0,2,0,0,0,0,0,2
1906,2,2,1.0,0,0,1,0,0,0,0,0,1
1907,2,2,1.0,0,0,1,0,0,0,0,0,1
1908,2,2,1.0,0,0,1,0,0,0,0,0,1
1909,5,5,1.3564659966250536,2,0,23,50,21,6,0,0,100
1910,5,5,0.4,0,1,5,1,0,1,0,0,7
1911,2,2,1.0,0,0,1,0,0,0,0,0,1
1912,2,2,0.0,0,0,1,0,0,0,0,0,1
1913,3,3,0.9428090415820634,2,0,20,19,11,3,0,0,53
1914,2,2,1.0,0,0,1,0,0,0,0,0,1
