clock_region,category,loc,x,y
X0Y0,SLICE,SLICE_X12Y50,12,50
X0Y0,SLICE,SLICE_X12Y51,12,51
X0Y0,SLICE,SLICE_X12Y52,12,52
X0Y0,SLICE,SLICE_X12Y53,12,53
X0Y0,SLICE,SLICE_X12Y54,12,54
X0Y0,SLICE,SLICE_X12Y55,12,55
X0Y0,SLICE,SLICE_X12Y56,12,56
X0Y0,SLICE,SLICE_X12Y57,12,57
X0Y0,SLICE,SLICE_X12Y58,12,58
X0Y0,SLICE,SLICE_X12Y59,12,59
X0Y0,SLICE,SLICE_X12Y6,12,6
X0Y0,SLICE,SLICE_X12Y7,12,7
X0Y0,SLICE,SLICE_X12Y8,12,8
X0Y0,SLICE,SLICE_X12Y9,12,9
X0Y0,SLICE,SLICE_X13Y0,13,0
X0Y0,SLICE,SLICE_X13Y1,13,1
X0Y0,SLICE,SLICE_X13Y10,13,10
X0Y0,SLICE,SLICE_X13Y11,13,11
X0Y0,SLICE,SLICE_X13Y12,13,12
X0Y0,SLICE,SLICE_X13Y13,13,13
X0Y0,SLICE,SLICE_X13Y14,13,14
X0Y0,SLICE,SLICE_X13Y15,13,15
X0Y0,SLICE,SLICE_X13Y16,13,16
X0Y0,SLICE,SLICE_X13Y17,13,17
X0Y0,SLICE,SLICE_X13Y18,13,18
X0Y0,SLICE,SLICE_X13Y19,13,19
X0Y0,SLICE,SLICE_X13Y2,13,2
X0Y0,SLICE,SLICE_X13Y20,13,20
X0Y0,SLICE,SLICE_X13Y21,13,21
X0Y0,SLICE,SLICE_X13Y22,13,22
X0Y0,SLICE,SLICE_X13Y23,13,23
X0Y0,SLICE,SLICE_X13Y24,13,24
X0Y0,SLICE,SLICE_X13Y25,13,25
X0Y0,SLICE,SLICE_X13Y26,13,26
X0Y0,SLICE,SLICE_X13Y27,13,27
X0Y0,SLICE,SLICE_X13Y28,13,28
X0Y0,SLICE,SLICE_X13Y29,13,29
X0Y0,SLICE,SLICE_X13Y3,13,3
X0Y0,SLICE,SLICE_X13Y30,13,30
X0Y0,SLICE,SLICE_X13Y31,13,31
X0Y0,SLICE,SLICE_X13Y32,13,32
X0Y0,SLICE,SLICE_X13Y33,13,33
X0Y0,SLICE,SLICE_X13Y34,13,34
X0Y0,SLICE,SLICE_X13Y35,13,35
X0Y0,SLICE,SLICE_X13Y36,13,36
X0Y0,SLICE,SLICE_X13Y37,13,37
X0Y0,SLICE,SLICE_X13Y38,13,38
X0Y0,SLICE,SLICE_X13Y39,13,39
X0Y0,SLICE,SLICE_X13Y4,13,4
X0Y0,SLICE,SLICE_X13Y40,13,40
X0Y0,SLICE,SLICE_X13Y41,13,41
X0Y0,SLICE,SLICE_X13Y42,13,42
X0Y0,SLICE,SLICE_X13Y43,13,43
X0Y0,SLICE,SLICE_X13Y44,13,44
X0Y0,SLICE,SLICE_X13Y45,13,45
X0Y0,SLICE,SLICE_X13Y46,13,46
X0Y0,SLICE,SLICE_X13Y47,13,47
X0Y0,SLICE,SLICE_X13Y48,13,48
X0Y0,SLICE,SLICE_X13Y49,13,49
X0Y0,SLICE,SLICE_X13Y5,13,5
X0Y0,SLICE,SLICE_X13Y50,13,50
X0Y0,SLICE,SLICE_X13Y51,13,51
X0Y0,SLICE,SLICE_X13Y52,13,52
X0Y0,SLICE,SLICE_X13Y53,13,53
X0Y0,SLICE,SLICE_X13Y54,13,54
X0Y0,SLICE,SLICE_X13Y55,13,55
X0Y0,SLICE,SLICE_X13Y56,13,56
X0Y0,SLICE,SLICE_X13Y57,13,57
X0Y0,SLICE,SLICE_X13Y58,13,58
X0Y0,SLICE,SLICE_X13Y59,13,59
X0Y0,SLICE,SLICE_X13Y6,13,6
X0Y0,SLICE,SLICE_X13Y7,13,7
X0Y0,SLICE,SLICE_X13Y8,13,8
