bench,src,pc,latency
508.namd_r/1,1/super_hot_regions:181,0x5826d1554707,2
508.namd_r/1,1/super_hot_regions:181,0x5826d155470b,2
508.namd_r/1,1/super_hot_regions:181,0x5826d1554714,2
508.namd_r/1,1/super_hot_regions:181,0x5826d1554718,2
508.namd_r/1,1/super_hot_regions:181,0x5826d1554729,4
508.namd_r/1,1/super_hot_regions:181,0x5826d155473e,4
508.namd_r/1,1/super_hot_regions:181,0x5826d1554755,1

508.namd_r/1,1/super_hot_regions:182,0x5826d1554710,2
508.namd_r/1,1/super_hot_regions:182,0x5826d155471c,2
508.namd_r/1,1/super_hot_regions:182,0x5826d1554720,2
508.namd_r/1,1/super_hot_regions:182,0x5826d1554733,4
508.namd_r/1,1/super_hot_regions:182,0x5826d1554751,2
508.namd_r/1,1/super_hot_regions:182,0x5826d155475d,4

508.namd_r/1,1/super_hot_regions:216,0x5826d1557dcb,2
508.namd_r/1,1/super_hot_regions:216,0x5826d1557dcf,2
508.namd_r/1,1/super_hot_regions:216,0x5826d1557dd7,2
508.namd_r/1,1/super_hot_regions:216,0x5826d1557ddb,2
508.namd_r/1,1/super_hot_regions:216,0x5826d1557dea,4
508.namd_r/1,1/super_hot_regions:216,0x5826d1557dfe,4
508.namd_r/1,1/super_hot_regions:216,0x5826d1557e16,1

508.namd_r/1,1/super_hot_regions:217,0x5826d1557dd3,2
508.namd_r/1,1/super_hot_regions:217,0x5826d1557ddf,2
508.namd_r/1,1/super_hot_regions:217,0x5826d1557de3,2
508.namd_r/1,1/super_hot_regions:217,0x5826d1557df3,4
508.namd_r/1,1/super_hot_regions:217,0x5826d1557e11,2
508.namd_r/1,1/super_hot_regions:217,0x5826d1557e1e,4

508.namd_r/1,1/super_hot_regions:224,0x5826d152f4fa,2
508.namd_r/1,1/super_hot_regions:224,0x5826d152f4fe,2
508.namd_r/1,1/super_hot_regions:224,0x5826d152f506,2
508.namd_r/1,1/super_hot_regions:224,0x5826d152f50a,2
508.namd_r/1,1/super_hot_regions:224,0x5826d152f51a,4
508.namd_r/1,1/super_hot_regions:224,0x5826d152f52f,4
508.namd_r/1,1/super_hot_regions:224,0x5826d152f546,1

508.namd_r/1,1/super_hot_regions:225,0x5826d152f502,2
508.namd_r/1,1/super_hot_regions:225,0x5826d152f50e,2
508.namd_r/1,1/super_hot_regions:225,0x5826d152f512,2
