idx,stages,II,est_fmax_mhz,latency,rank,exec_cnt,serial_mem
298,2,1,1166.7,2,10,3143887,True
299,2,1,1166.7,2,10,4816492,True
300,11,1,218.7,11,10,5544348,True
301,2,1,1166.7,2,10,610120,True
302,2,1,437.5,2,10,8992639,True
303,1,1,304.3,1,10,8992639,True
304,1,1,304.3,1,10,3591777,False
305,2,1,1166.7,2,10,3591777,True
306,1,1,500.0,1,10,3591777,False
307,1,1,318.2,1,10,1021460,True
308,2,1,1166.7,2,10,2590392,True
309,2,1,1166.7,2,10,2590392,True
310,2,1,1166.7,2,10,2590392,True
311,2,1,1166.7,2,10,2590392,True
312,2,1,1166.7,2,10,2590392,True
313,2,1,1166.7,2,10,2590392,True
314,4,1,212.1,4,10,1038762,True
315,2,1,218.7,2,10,1364330,True
316,8,1,218.7,8,10,3284512,True
317,2,1,1166.7,2,10,4785819,True
318,30,1,109.4,30,10,1230527,True
319,2,1,225.8,2,11,1454295,False
320,1,1,291.7,1,11,1454295,False
321,1,1,291.7,1,11,5270333,False
322,2,1,225.8,2,11,1802389,False
323,1,1,291.7,1,11,1802389,False
324,2,1,304.3,2,11,2218146,True
325,2,1,1166.7,2,11,1178291,True
326,2,1,1166.7,2,11,59093,True
327,2,1,1166.7,2,11,59093,True
328,2,1,1166.7,2,11,59093,True
329,2,1,1166.7,2,11,59093,True
330,2,1,1166.7,2,11,59093,True
331,2,1,1166.7,2,11,59093,True
332,2,1,1166.7,2,11,59093,True
333,3,1,500.0,3,11,59093,True
334,2,1,1166.7,2,11,59093,True
335,3,1,250.0,3,11,59093,True
336,2,1,500.0,2,11,59093,True
337,2,1,1000.0,2,11,874977,True
338,2,1,1000.0,2,11,874977,True
339,3,1,437.5,3,11,1605005,True
340,4,1,218.7,4,11,1605005,True
341,3,1,437.5,3,11,1605005,True
342,2,1,1166.7,2,11,4893019,True
343,2,1,1166.7,2,11,610120,True
344,2,1,1166.7,2,11,610120,True
345,2,1,437.5,2,11,610120,True
346,3,1,1166.7,3,11,610120,True
347,4,1,1166.7,4,11,610120,True
348,3,1,318.2,3,11,610120,True
349,3,1,1166.7,3,11,610120,True
350,4,1,437.5,4,11,610120,True
351,3,1,1166.7,3,11,610120,True
352,17,1,218.7,17,11,610120,True
353,1,1,500.0,1,11,6835370,False
354,3,1,1166.7,3,11,6835370,True
355,2,1,1166.7,2,11,1153050,True
