benchmark,input,region,cpu_only_cycles,fpga_custom_cycles,cpu_only_ipc,fpga_custom_ipc,cycle_reduction_%
503.bwaves_r,2,region_2,188178550,188168400,0.64,0.64,0.01
503.bwaves_r,2,region_3,172658150,172475800,0.70,0.70,0.11
503.bwaves_r,2,region_4,223476050,220171350,0.54,0.55,1.48
503.bwaves_r,2,region_5,184641800,184481500,0.65,0.65,0.09
503.bwaves_r,2,region_6,164897950,164708600,0.73,0.73,0.11
503.bwaves_r,2,region_7,172758950,172588150,0.69,0.70,0.10
503.bwaves_r,2,region_8,150570700,142020900,0.80,0.84,5.68
503.bwaves_r,2,region_9,99590750,94566150,1.20,1.27,5.05
503.bwaves_r,2,region_10,178197950,178036250,0.67,0.67,0.09
503.bwaves_r,2,region_11,200893700,197546650,0.60,0.61,1.67
503.bwaves_r,2,region_12,166312650,166121900,0.72,0.72,0.11
503.bwaves_r,2,region_13,167492500,165557000,0.72,0.72,1.16
503.bwaves_r,2,region_14,134970850,126008750,0.89,0.95,6.64
503.bwaves_r,2,region_15,201261900,201129950,0.60,0.60,0.07
503.bwaves_r,2,region_16,198986900,193797450,0.60,0.62,2.61
503.bwaves_r,2,region_17,189794500,189644350,0.63,0.63,0.08
503.bwaves_r,2,region_18,168611450,168429800,0.71,0.71,0.11
503.bwaves_r,2,region_19,179427500,179260900,0.67,0.67,0.09
503.bwaves_r,2,region_20,166330500,166139400,0.72,0.72,0.11
503.bwaves_r,2,region_21,204247400,204119300,0.59,0.59,0.06
503.bwaves_r,2,region_22,177445100,177272550,0.68,0.68,0.10
503.bwaves_r,2,region_23,170454550,169486100,0.70,0.71,0.57
503.bwaves_r,2,region_24,204390900,204262800,0.59,0.59,0.06
503.bwaves_r,2,average,176886529,175229702,0.70,0.71,1.09

503.bwaves_r,3,region_1,175954450,175801500,0.68,0.68,0.09
503.bwaves_r,3,region_2,159694500,158034100,0.75,0.76,1.04
503.bwaves_r,3,region_3,160841450,160655950,0.75,0.75,0.12
503.bwaves_r,3,region_4,183091300,177158450,0.66,0.68,3.24
503.bwaves_r,3,region_5,199482850,199349850,0.60,0.60,0.07
503.bwaves_r,3,region_6,175851200,175697200,0.68,0.68,0.09
503.bwaves_r,3,region_7,196009100,191180500,0.61,0.63,2.46
503.bwaves_r,3,region_8,156642150,153442450,0.77,0.78,2.04
503.bwaves_r,3,region_9,151500300,143649100,0.79,0.84,5.18
503.bwaves_r,3,region_10,175962500,175808150,0.68,0.68,0.09
503.bwaves_r,3,region_11,199882900,199752700,0.60,0.60,0.07
503.bwaves_r,3,region_12,181276900,181137950,0.66,0.66,0.08
503.bwaves_r,3,region_13,164824800,164647350,0.73,0.73,0.11
503.bwaves_r,3,region_14,167148800,160815200,0.72,0.75,3.79
503.bwaves_r,3,region_15,166589500,166427450,0.72,0.72,0.10
503.bwaves_r,3,region_16,228995900,225846950,0.52,0.53,1.38
503.bwaves_r,3,region_17,175886900,175730800,0.68,0.68,0.09
503.bwaves_r,3,region_18,199844050,199717350,0.60,0.60,0.06
503.bwaves_r,3,region_19,188996500,188848800,0.63,0.64,0.08
503.bwaves_r,3,region_20,169373750,169203300,0.71,0.71,0.10
503.bwaves_r,3,region_21,150498600,149601550,0.80,0.80,0.60
503.bwaves_r,3,region_22,179054400,178895500,0.67,0.67,0.09
503.bwaves_r,3,region_23,133816550,124794950,0.90,0.96,6.74
503.bwaves_r,3,average,175705189,173747700,0.69,0.70,1.20

503.bwaves_r,4,region_1,199477250,194399450,0.60,0.62,2.55
503.bwaves_r,4,region_2,194712350,194593000,0.62,0.62,0.06
503.bwaves_r,4,region_3,184228450,184094050,0.65,0.65,0.07
503.bwaves_r,4,region_4,185971450,185808000,0.65,0.65,0.09
503.bwaves_r,4,region_5,252801500,250975200,0.47,0.48,0.72
503.bwaves_r,4,region_6,167969900,167778100,0.71,0.72,0.11
503.bwaves_r,4,region_7,148082200,144596900,0.81,0.83,2.35
503.bwaves_r,4,region_8,205280250,205174550,0.58,0.58,0.05
503.bwaves_r,4,region_9,271565000,271553450,0.44,0.44,0.00
503.bwaves_r,4,region_10,156825900,155298500,0.77,0.77,0.97
503.bwaves_r,4,region_11,196239400,196096250,0.61,0.61,0.07
503.bwaves_r,4,region_12,175539350,175392000,0.68,0.68,0.08
503.bwaves_r,4,region_13,172928700,172742850,0.69,0.69,0.11
503.bwaves_r,4,region_14,166842900,166676650,0.72,0.72,0.10
503.bwaves_r,4,region_15,185704050,185541650,0.65,0.65,0.09
503.bwaves_r,4,region_16,170521750,170364250,0.70,0.70,0.09
503.bwaves_r,4,region_17,164881500,163880500,0.73,0.73,0.61
503.bwaves_r,4,region_18,214607050,210360150,0.56,0.57,1.98
503.bwaves_r,4,region_19,205834650,205726150,0.58,0.58,0.05
503.bwaves_r,4,region_20,170810500,163533650,0.70,0.73,4.26
503.bwaves_r,4,region_21,206090150,205980600,0.58,0.58,0.05
503.bwaves_r,4,average,190329250,189074567,0.64,0.65,0.72

