env,benchmark,cpu_cycles,fpga_cycles,delta_cycles,delta_cycle_pct,saved_cpu_ns,fpga_time_ns,f_fpga_mhz,num_blocks,avg_depth,total_depth,clb_used,dsp_used,clb_pct_board,dsp_pct_board,area_mm2,total_W,dyn_W,W_per_mm2,stage_count_raw
i7_4770k,508.namd_r,1082844081,1065208227,17635854,1.629,5038815.43,58468694.99,301.629,31,3.97,123,26390,1035,17.858,15.132,82.469,6.594,4.068,0.08,4+4+4+4+4+4+4+4+4+4+4+5+4+5+4+4+4+4+4+4+4+4+4+4+4+4+5+5+5+1+1
atom_e3845,508.namd_r,1636554747,1593087356,43467391,2.656,22757796.34,144108792.59,301.629,31,3.97,123,26390,1035,17.858,15.132,82.469,6.594,4.068,0.08,4+4+4+4+4+4+4+4+4+4+4+5+4+5+4+4+4+4+4+4+4+4+4+4+4+4+5+5+5+1+1
gainestown,508.namd_r,1210693189,1194880952,15812237,1.306,5647227.5,52422800.86,301.629,31,3.97,123,26390,1035,17.858,15.132,82.469,6.594,4.068,0.08,4+4+4+4+4+4+4+4+4+4+4+5+4+5+4+4+4+4+4+4+4+4+4+4+4+4+5+5+5+1+1
atom_d510,641.leela_s,2833905575,2818579280,15326295,0.541,9177422.16,36987426.54,414.365,4,1.0,4,150,20,0.102,0.292,0.469,2.904,0.43,6.195,1+1+1+1
atom_c2750,641.leela_s,2568814450,2554253200,14561250,0.567,6067187.5,35141119.54,414.365,4,1.0,4,150,20,0.102,0.292,0.469,2.904,0.43,6.195,1+1+1+1
i7_4770k,641.leela_s,2477666625,2466062346,11604279,0.468,3315508.29,28004969.05,414.365,4,1.0,4,150,20,0.102,0.292,0.469,2.904,0.43,6.195,1+1+1+1
atom_e3845,641.leela_s,2571058982,2556499020,14559962,0.566,7623016.75,35138011.17,414.365,4,1.0,4,150,20,0.102,0.292,0.469,2.904,0.43,6.195,1+1+1+1
gainestown,641.leela_s,2210051457,2198984505,11066952,0.501,3952482.86,26708221.01,414.365,4,1.0,4,150,20,0.102,0.292,0.469,2.904,0.43,6.195,1+1+1+1
atom_d510,649.fotonik3d_s,2915062789,2920594586,-5531797,-0.19,-3312453.29,-11325438.13,488.44,10,1.0,10,199,0,0.135,0.0,0.622,2.866,0.392,4.609,1+1+1+1+1+1+1+1+1+1
atom_c2750,649.fotonik3d_s,3412456150,3432412360,-19956210,-0.585,-8315087.5,-40857034.64,488.44,10,1.0,10,199,0,0.135,0.0,0.622,2.866,0.392,4.609,1+1+1+1+1+1+1+1+1+1
i7_4770k,649.fotonik3d_s,1984798740,1990152252,-5353512,-0.27,-1529574.86,-10960429.12,488.44,10,1.0,10,199,0,0.135,0.0,0.622,2.866,0.392,4.609,1+1+1+1+1+1+1+1+1+1
