benchmark,input,region,cpu_only_cycles,fpga_custom_cycles,cpu_only_ipc,fpga_custom_ipc,cycle_reduction_%
520.omnetpp_r,1,region_4,195139925,194034608,0.61,0.62,0.57
520.omnetpp_r,1,region_5,2088967,2089922,0.86,0.86,-0.05
520.omnetpp_r,1,region_6,167186311,166207436,0.72,0.72,0.59
520.omnetpp_r,1,region_7,194750094,193649743,0.62,0.62,0.57
520.omnetpp_r,1,region_8,427818417,424435425,0.28,0.28,0.79
520.omnetpp_r,1,region_9,193843035,192760447,0.62,0.62,0.56
520.omnetpp_r,1,region_10,202633810,201598399,0.59,0.60,0.51
520.omnetpp_r,1,region_11,197600960,196500418,0.61,0.61,0.56
520.omnetpp_r,1,average,192952333,191849655,0.63,0.63,0.48

521.wrf_r,1,region_1,114990786,114916487,1.04,1.04,0.06
521.wrf_r,1,region_2,140779797,140810548,0.85,0.85,-0.02
521.wrf_r,1,region_3,209692215,209706158,0.57,0.57,-0.01
521.wrf_r,1,region_4,296203373,296302502,0.41,0.40,-0.03
521.wrf_r,1,region_5,100659292,100650124,1.19,1.19,0.01
521.wrf_r,1,region_6,175400266,175204491,0.68,0.68,0.11
521.wrf_r,1,region_7,124773424,121226554,0.96,0.99,2.84
521.wrf_r,1,region_8,122063134,120558245,0.98,1.00,1.23
521.wrf_r,1,region_9,116006142,112380198,1.03,1.07,3.13
521.wrf_r,1,region_10,144007506,141201907,0.83,0.85,1.95
521.wrf_r,1,region_11,106585067,103560391,1.13,1.16,2.84
521.wrf_r,1,region_12,308922445,309008968,0.39,0.39,-0.03
521.wrf_r,1,region_13,127505679,127526689,0.94,0.94,-0.02
521.wrf_r,1,region_14,139358566,138565343,0.86,0.87,0.57
521.wrf_r,1,region_15,144919149,141612366,0.83,0.85,2.28
521.wrf_r,1,region_16,333505291,333613397,0.36,0.36,-0.03
521.wrf_r,1,region_17,325304897,325399824,0.37,0.37,-0.03
521.wrf_r,1,region_18,339823953,339961664,0.35,0.35,-0.04
